"_time","WIKI/AAPL","WIKI/CA","WIKI/DATA","WIKI/EMC","WIKI/HPQ","WIKI/IBM","WIKI/MSFT","WIKI/MSTR","WIKI/ORCL","WIKI/QLIK","WIKI/SPLK","WIKI/TDC","WIKI/VRNS"
"2015-02-12T00:00:00.000-0800","126.46","32.405","98.5","27.87","38.37","158.52","43.09","178.75","43.89","30.08","61.93","46.02","36.74"
"2015-02-13T00:00:00.000-0800","127.08","32.63","99.9","27.99","38.56","160.4","43.87","181.24","43.93","31.17","64.18","45.73","37.34"
"2015-02-14T00:00:00.000-0800","127.08","32.63","99.9","27.99","38.56","160.4","43.87","181.24","43.93","31.17","64.18","45.73","37.34"
"2015-02-15T00:00:00.000-0800","127.08","32.63","99.9","27.99","38.56","160.4","43.87","181.24","43.93","31.17","64.18","45.73","37.34"
"2015-02-16T00:00:00.000-0800","127.08","32.63","99.9","27.99","38.56","160.4","43.87","181.24","43.93","31.17","64.18","45.73","37.34"
"2015-02-17T00:00:00.000-0800","127.83","32.58","98.45","28.3","38.53","160.96","43.58","179.66","43.84","31.05","63.83","45.08","37.45"
"2015-02-18T00:00:00.000-0800","128.715","32.59","97.84","28.2","38.15","162.19","43.53","179.66","44.1","30.99","65.9","45.16","30.4"
"2015-02-19T00:00:00.000-0800","128.45","32.52","99.32","28.72","38.38","163.89","43.5","179.62","44.11","31.165","68.06","45.17","30.91"
"2015-02-20T00:00:00.000-0800","129.495","32.83","99.28","29.04","38.39","163.65","43.855","179.55","43.77","31.5","68.945","45.29","29.88"
"2015-02-21T00:00:00.000-0800","129.495","32.83","99.28","29.04","38.39","163.65","43.855","179.55","43.77","31.5","68.945","45.29","29.88"
"2015-02-22T00:00:00.000-0800","129.495","32.83","99.28","29.04","38.39","163.65","43.855","179.55","43.77","31.5","68.945","45.29","29.88"
"2015-02-23T00:00:00.000-0800","133.0","32.59","96.85","28.75","38.19","162.91","44.15","177.39","43.78","30.75","68.6","44.63","29.88"
"2015-02-24T00:00:00.000-0800","132.17","32.7","96.22","29.02","38.49","164.83","44.09","177.33","43.88","31.03","66.44","44.73","30.5"
"2015-02-25T00:00:00.000-0800","128.79","33.11","97.27","28.91","34.67","162.81","43.99","179.3","43.73","31.99","67.5","43.95","31.14"
"2015-02-26T00:00:00.000-0800","130.415","32.82","97.42","28.82","34.01","160.87","44.055","179.51","43.89","32.61","69.57","43.96","30.98"
"2015-02-27T00:00:00.000-0800","128.46","32.52","94.01","28.94","34.84","161.94","43.85","178.34","43.82","32.44","67.25","44.52","30.89"
"2015-02-28T00:00:00.000-0800","128.46","32.52","94.01","28.94","34.84","161.94","43.85","178.34","43.82","32.44","67.25","44.52","30.89"
"2015-03-01T00:00:00.000-0800","128.46","32.52","94.01","28.94","34.84","161.94","43.85","178.34","43.82","32.44","67.25","44.52","30.89"
"2015-03-02T00:00:00.000-0800","129.09","32.84","96.85","28.88","34.92","160.48","43.88","179.59","44.03","32.59","67.12","44.96","31.5"
"2015-03-03T00:00:00.000-0800","129.36","32.2","94.25","28.39","34.57","161.03","43.28","179.19","43.38","32.35","65.68","44.05","31.16"
"2015-03-04T00:00:00.000-0800","128.54","31.91","92.11","28.2","34.19","159.42","43.055","174.68","43.61","31.86","63.67","44.64","30.32"
"2015-03-05T00:00:00.000-0800","126.41","31.96","95.5","28.01","34.0","161.18","43.11","170.3","43.8","32.55","64.65","44.03","30.5"
"2015-03-06T00:00:00.000-0800","126.6","31.71","92.34","27.65","33.18","158.5","42.36","161.72","42.38","32.0","62.48","42.89","30.25"
"2015-03-07T00:00:00.000-0800","126.6","31.71","92.34","27.65","33.18","158.5","42.36","161.72","42.38","32.0","62.48","42.89","30.25"
